Pergunta,Resposta
Meu Wi-Fi não conecta.,Verifique se o roteador está ligado e se os cabos estão bem conectados. Tente reiniciar o roteador e seu computador/celular.
A internet está muito lenta.,"Reinicie seu modem e roteador. Tente conectar-se por cabo para verificar se o problema é o Wi-Fi. Se o problema persistir, pode ser um problema com seu provedor de internet."
Não consigo imprimir.,Certifique-se de que a impressora está ligada e conectada ao computador (cabo USB ou Wi-Fi). Verifique se há papel e tinta/toner. Reinicie o spooler de impressão no Windows.
O computador não liga.,"Verifique se o cabo de energia está bem conectado na tomada e no computador. Tente outra tomada. Se for notebook, verifique o carregador e a bateria."
Esqueci minha senha de login do sistema.,"Para redefinir sua senha, clique em ""Esqueci minha senha"" na tela de login e siga as instruções para recuperação via e-mail ou número de telefone."
O sistema travou e não responde.,"Tente fechar o programa que travou usando o Gerenciador de Tarefas (Ctrl+Shift+Esc). Se o sistema todo travou, force o desligamento segurando o botão de ligar/desligar por alguns segundos."
Não consigo acessar um site específico.,Verifique se sua internet está funcionando em outros sites. Limpe o cache e os cookies do seu navegador. O site pode estar temporariamente fora do ar.
Como instalo um novo programa?,Baixe o instalador do software de uma fonte confiável. Execute o arquivo baixado e siga as instruções na tela. Você pode precisar de permissões de administrador.
Preciso desinstalar um programa.,"No Windows, vá em Painel de Controle > Programas e Recursos (ou Configurações > Aplicativos). No macOS, arraste o aplicativo da pasta Aplicativos para a Lixeira."
Meu teclado não funciona.,"Verifique se o teclado está bem conectado (USB ou Bluetooth). Reinicie o computador. Se for um teclado sem fio, verifique as pilhas."
O mouse não está respondendo.,Verifique a conexão do mouse (USB ou Bluetooth). Troque as pilhas se for sem fio. Tente em outra porta USB. Reinicie o computador.
Perdi um arquivo importante.,"Verifique a Lixeira/Cesto de Lixo. Use a função de busca do sistema operacional para procurar o nome do arquivo. Se não encontrar, pode ser necessário restaurar um backup."
O computador está muito lento.,Feche programas que não está usando. Reinicie o computador. Rode um antivírus. Desfragmente o disco rígido (se não for SSD). Verifique o espaço em disco.
Recebo uma mensagem de erro ao abrir um aplicativo.,Anote o código ou a descrição exata do erro. Tente reiniciar o aplicativo e o computador. Verifique se o aplicativo está atualizado.
Como faço backup dos meus arquivos?,"Você pode copiar seus arquivos para um HD externo, pendrive, ou usar serviços de nuvem como Google Drive, OneDrive ou Dropbox."
O que é um firewall?,"Um firewall é uma barreira de segurança que monitora e controla o tráfego de rede, protegendo seu computador contra acessos não autorizados e ameaças externas."
Como libero espaço no meu disco rígido?,Desinstale programas que não usa. Delete arquivos grandes e desnecessários. Esvazie a lixeira. Use a Limpeza de Disco (Windows) ou ferramentas de otimização (macOS).
Minha câmera não está funcionando em videochamada.,Verifique se a câmera está conectada e se drivers estão atualizados. Certifique-se de que o aplicativo de videochamada tem permissão para acessar a câmera nas configurações de privacidade do sistema.
Não ouço som no computador.,Verifique se os alto-falantes estão conectados e ligados. Aumente o volume do sistema e do aplicativo. Verifique se os drivers de áudio estão instalados e atualizados.
Preciso de ajuda para configurar meu e-mail.,"Informe qual provedor de e-mail você usa (Gmail, Outlook, etc.) e qual programa (Outlook, Thunderbird) ou interface web você está tentando configurar. Verifique as configurações do servidor POP/IMAP/SMTP."
Como conecto um pendrive?,"Insira o pendrive em uma porta USB disponível no seu computador. Ele deve aparecer automaticamente no ""Meu Computador"" (Windows) ou ""Finder"" (macOS)."
A tela do meu monitor está preta.,"Verifique se o monitor está ligado e se o cabo de vídeo (HDMI, DisplayPort, VGA) está bem conectado tanto no monitor quanto no computador. Tente reiniciar o computador."
O navegador está bloqueando pop-ups.,"Em geral, isso é uma proteção. Se você confia no site, pode desativar o bloqueador de pop-ups nas configurações do seu navegador para aquele site específico."
